"","formid","speciesid","abundance","X","id","fish_memberid","region","site","familyid","timecode","site4","site1","comments","memberid","exp","type","geogr","geogr4","geogr1","latitude","longitude","date","stemp","btemp","btime","start","visibility","averagedepth","maxdepth","current","year","month","day","occ","exp_binary","abundance2","abund_trans","site_dmy"
"6913",2047,96,0,1041515,1041525,27,"TWA",34040004,53,0,3404,3,"NULL",27,"N",1,34040004,3404,3,24.9497,-80.4532,1994-03-14,"73","0","40","9","4","8","NULL","1",1994,3,14,0,0,1,0,"340400041431994"
"7481",2048,96,0,1041540,1041550,27,"TWA",34040004,53,0,3404,3,"NULL",27,"N",1,34040004,3404,3,24.9497,-80.4532,1994-03-14,"73","0","45","10","4","5","NULL","2",1994,3,14,0,0,1,0,"340400041431994"
"8049",2049,96,0,1041559,1041569,27,"TWA",34040004,53,0,3404,3,"NULL",27,"N",1,34040004,3404,3,24.9497,-80.4532,1994-03-15,"73","0","40","10","4","7","NULL","2",1994,3,15,0,0,1,0,"baseline"
"8617",2050,96,0,1040229,1040239,27,"TWA",34030009,53,0,3403,3,"NULL",27,"N",1,34030009,3403,3,25.009,-80.3737,1994-04-02,"74","0","50","10","5","4","NULL","2",1994,4,2,0,0,1,0,"34030009241994"
"9185",2051,96,0,1040262,1040272,270,"TWA",34030009,53,0,3403,3,"NULL",270,"N",1,34030009,3403,3,25.009,-80.3737,1994-04-02,"74","0","40","14","5","4","NULL","2",1994,4,2,0,0,1,0,"34030009241994"
"9753",2052,96,0,153997,153997,27,"TWA",34040004,53,0,3404,3,"NULL",27,"N",1,34040004,3404,3,24.9467,-80.4563,1994-04-18,"76","0","60","12","4","8","NULL","2",1994,4,18,0,0,1,0,"baseline"
"10321",2053,96,0,154039,154039,27,"TWA",34040004,53,0,3404,3,"NULL",27,"N",1,34040004,3404,3,24.9467,-80.4568,1994-04-22,"76","0","46","13","4","8","NULL","2",1994,4,22,0,0,1,0,"baseline"
"10889",2057,96,0,154100,154100,27,"TWA",34040004,53,0,3404,3,"NULL",27,"N",1,34040004,3404,3,24.9565,-80.457,1994-05-10,"0","0","50","11","4","3","NULL","1",1994,5,10,0,0,1,0,"340400041051994"
"11457",2058,96,0,154072,154072,27,"TWA",34040004,53,0,3404,3,"NULL",27,"N",1,34040004,3404,3,24.9465,-80.4565,1994-05-10,"0","0","25","10","3","7","NULL","2",1994,5,10,0,0,1,0,"340400041051994"
"12025",2060,96,0,154198,154198,27,"TWA",34040004,53,0,3404,3,"NULL",27,"N",1,34040004,3404,3,24.9467,-80.454,1994-05-30,"0","0","55","14","5","3","NULL","2",1994,5,30,0,0,1,0,"340400043051994"
"12593",2061,96,0,154167,154167,27,"TWA",34040004,53,0,3404,3,"NULL",27,"N",1,34040004,3404,3,24.9463,-80.4552,1994-05-30,"0","0","35","12","4","9","NULL","2",1994,5,30,0,0,1,0,"340400043051994"
"13161",2062,96,0,1041629,1041639,27,"TWA",34040004,53,0,3404,3,"NULL",27,"N",1,34040004,3404,3,24.9465,-80.4568,1994-04-04,"72","0","40","9","4","8","NULL","2",1994,4,4,0,0,1,0,"34040004441994"
"13729",2063,96,0,1041666,1041676,27,"TWA",34040004,53,0,3404,3,"NULL",27,"N",1,34040004,3404,3,24.9567,-80.4572,1994-04-04,"73","0","55","11","4","4","NULL","1",1994,4,4,0,0,1,0,"34040004441994"
"14297",2064,96,1,153031,153031,27,"TWA",34030009,64,0,3403,3,"NULL",27,"N",1,34030009,3403,3,25.0095,-80.3753,1994-11-07,"85","81","55","13","4","4","NULL","2",1994,11,7,1,0,2,1,"baseline"
"14865",2065,96,0,154531,154531,27,"TWA",34040007,53,0,3404,3,"NULL",27,"N",1,34040007,3404,3,24.8795,-80.904,1994-11-10,"85","81","22","11","5","10","NULL","2",1994,11,10,0,0,1,0,"baseline"
"15433",2068,96,0,1040336,1040346,27,"TWA",34030011,53,0,3403,3,"NULL",27,"N",1,34030011,3403,3,25.0528,-80.3327,1994-04-05,"73","0","50","12","4","4","NULL","2",1994,4,5,0,0,1,0,"baseline"
"16001",2072,96,0,1041312,1041322,27,"TWA",34030026,53,0,3403,3,"NULL",27,"N",1,34030026,3403,3,25.9903,-80.3817,1994-04-05,"72","0","30","10","3","10","NULL","2",1994,4,5,0,0,1,0,"baseline"
"16569",2086,96,0,1040287,1040297,52,"TWA",34030011,53,0,3403,3,"NULL",52,"E",1,34030011,3403,3,0,0,1994-02-09,"0","76","45","10","3","4","NULL","2",1994,2,9,0,1,1,0,"baseline"
"17137",2090,96,0,420854,420856,548,"TWA",34030009,66,0,3403,3,"NULL",548,"N",1,34030009,3403,3,0,0,1994-06-16,"83","83","80","14","3","3","NULL","1",1994,6,16,0,0,1,0,"baseline"
"17705",2093,96,0,330452,330453,52,"TWA",34030008,66,0,3403,3,"NULL",52,"E",1,34030008,3403,3,0,0,1994-06-20,"81","81","35","13","3","3","NULL","1",1994,6,20,0,1,1,0,"baseline"
"18273",2094,96,0,331942,331943,52,"TWA",34030023,53,0,3403,3,"NULL",52,"E",1,34030023,3403,3,0,0,1994-06-17,"81","81","65","14","3","3","NULL","1",1994,6,17,0,1,1,0,"baseline"
"18841",2096,96,0,330934,330935,52,"TWA",34030009,53,0,3403,3,"NULL",52,"E",1,34030009,3403,3,0,0,1994-07-11,"84","84","85","11","4","3","NULL","2",1994,7,11,0,1,1,0,"340300091171994"
"19409",2098,96,0,1041138,1041148,52,"TWA",34030014,53,0,3403,3,"NULL",52,"E",1,34030014,3403,3,0,0,1994-04-18,"0","79","60","11","3","3","NULL","1",1994,4,18,0,1,1,0,"baseline"
"19977",2405,96,0,424799,424801,7,"TWA",34100015,53,0,3410,3,"NULL",7,"E",1,34100015,3410,3,24.6262,-2.9353,1994-06-08,"84","84","50","9","2","2","NULL","2",1994,6,8,0,1,1,0,"baseline"
"20545",2474,96,0,1039928,1039938,987,"TWA",34030008,66,0,3403,3,"NULL",987,"N",1,34030008,3403,3,0,0,1994-02-05,"72","72","60","11","4","5","NULL","1",1994,2,5,0,0,1,0,"baseline"
"21113",2567,96,0,1041592,1041602,27,"TWA",34040004,53,0,3404,3,"NULL",27,"N",1,34040004,3404,3,24.952,-80.4595,1994-03-16,"73","0","60","11","4","4","NULL","1",1994,3,16,0,0,1,0,"baseline"
"21681",2570,96,0,330859,330860,52,"TWA",34030009,53,0,3403,3,"NULL",52,"E",1,34030009,3403,3,0,0,1994-07-11,"84","84","65","10","4","3","NULL","2",1994,7,11,0,1,1,0,"340300091171994"
"22249",2981,96,0,519911,519917,5019,"TWA",34030011,53,0,3403,3,"NULL",5019,"N",1,34030011,3403,3,0,0,1995-03-25,"0","75","45","15","3","4","NULL","2",1995,3,25,0,0,1,0,"baseline"
"22817",3828,96,0,153522,153522,1234,"TWA",34030023,53,0,3403,3,"NULL",1234,"N",1,34030023,3403,3,0,0,1994-03-29,"77","75","65","14","2","3","NULL","2",1994,3,29,0,0,1,0,"baseline"
"23385",6522,96,0,423266,423268,14,"TWA",34030031,53,0,3403,3,"NULL",14,"N",1,34030031,3403,3,0,0,1994-06-18,"0","0","65","10","3","2","NULL","2",1994,6,18,0,0,1,0,"baseline"
"23953",6524,96,0,152632,152632,14,"TWA",34030008,53,0,3403,3,"NULL",14,"N",1,34030008,3403,3,0,0,1995-06-10,"83","0","64","15","3","2","NULL","1",1995,6,10,0,0,1,0,"baseline"
"24521",6525,96,0,153057,153057,14,"TWA",34030009,53,0,3403,3,"NULL",14,"N",1,34030009,3403,3,0,0,1995-06-17,"0","0","64","15","3","3","NULL","2",1995,6,17,0,0,1,0,"baseline"
"25089",6526,96,0,153174,153174,14,"TWA",34030011,53,0,3403,3,"NULL",14,"N",1,34030011,3403,3,0,0,1995-06-17,"0","0","67","16","3","4","NULL","2",1995,6,17,0,0,1,0,"baseline"
"25657",6528,96,0,153607,153607,14,"TWA",34030023,53,0,3403,3,"NULL",14,"N",1,34030023,3403,3,0,0,1995-07-01,"0","0","64","10","3","3","NULL","2",1995,7,1,0,0,1,0,"baseline"
"26225",6561,96,0,864041,864049,530,"TWA",34030001,53,0,3403,3,"NULL",530,"N",1,34030001,3403,3,0,0,1994-06-06,"90","85","67","14","4","3","NULL","2",1994,6,6,0,0,1,0,"34030001661994"
"26793",6564,96,0,864166,864174,3346,"TWA",34030001,53,0,3403,3,"NULL",3346,"N",1,34030001,3403,3,0,0,1994-06-06,"80","80","73","14","4","3","NULL","2",1994,6,6,0,0,1,0,"34030001661994"
"27361",6565,96,0,864113,864121,2728,"TWA",34030001,53,0,3403,3,"NULL",2728,"N",1,34030001,3403,3,0,0,1994-06-06,"81","80","45","14","4","3","NULL","2",1994,6,6,0,0,1,0,"34030001661994"
"27929",6567,96,0,864121,864129,3099,"TWA",34030001,53,0,3403,3,"NULL",3099,"N",1,34030001,3403,3,0,0,1994-06-06,"80","80","74","14","6","3","NULL","2",1994,6,6,0,0,1,0,"34030001661994"
"28497",6571,96,0,864412,864420,3611,"TWA",34030001,53,0,3403,3,"NULL",3611,"N",1,34030001,3403,3,0,0,1994-06-06,"90","60","67","14","5","3","NULL","1",1994,6,6,0,0,1,0,"34030001661994"
"29065",6572,96,0,864353,864361,3610,"TWA",34030001,53,0,3403,3,"NULL",3610,"N",1,34030001,3403,3,0,0,1994-06-06,"90","60","67","14","4","3","NULL","2",1994,6,6,0,0,1,0,"34030001661994"
"29633",6574,96,0,864324,864332,3609,"TWA",34030001,53,0,3403,3,"NULL",3609,"N",1,34030001,3403,3,0,0,1994-06-06,"81","82","70","14","4","3","NULL","2",1994,6,6,0,0,1,0,"34030001661994"
"30201",6577,96,0,864278,864286,3608,"TWA",34030001,53,0,3403,3,"NULL",3608,"N",1,34030001,3403,3,0,0,1994-06-06,"90","60","75","14","4","3","NULL","1",1994,6,6,0,0,1,0,"34030001661994"
"30769",6578,96,0,864241,864249,3607,"TWA",34030001,53,0,3403,3,"NULL",3607,"N",1,34030001,3403,3,0,0,1994-06-06,"81","82","75","14","3","3","NULL","1",1994,6,6,0,0,1,0,"34030001661994"
"31337",6580,96,0,864079,864087,2675,"TWA",34030001,53,0,3403,3,"NULL",2675,"N",1,34030001,3403,3,0,0,1994-06-06,"81","81","70","14","4","3","NULL","2",1994,6,6,0,0,1,0,"34030001661994"
"31905",6584,96,0,863822,863830,3,"TWA",34030001,53,0,3403,3,"NULL",3,"E",1,34030001,3403,3,0,0,1994-06-06,"82","82","75","14","3","3","NULL","1",1994,6,6,0,1,1,0,"34030001661994"
"32473",6586,96,0,863967,863975,52,"TWA",34030001,53,0,3403,3,"NULL",52,"E",1,34030001,3403,3,0,0,1994-06-06,"81","81","80","14","3","3","NULL","1",1994,6,6,0,1,1,0,"34030001661994"
"33041",6588,96,0,863896,863904,9,"TWA",34030001,53,0,3403,3,"NULL",9,"E",1,34030001,3403,3,0,0,1994-06-06,"80","81","78","14","3","3","NULL","2",1994,6,6,0,1,1,0,"34030001661994"
"33609",7053,96,0,417624,417626,2795,"TWA",33010007,53,0,3301,3,"NULL",2795,"N",1,33010007,3301,3,0,0,1995-01-17,"72","70","25","11","4","9","NULL","2",1995,1,17,0,0,1,0,"baseline"
"34177",7144,96,0,417548,417550,656,"TWA",33010005,53,0,3301,3,"NULL",656,"N",1,33010005,3301,3,0,0,1994-07-27,"0","0","45","10","4","8","NULL","3",1994,7,27,0,0,1,0,"330100052771994"
"34745",8357,96,0,1048780,1048790,4034,"TWA",34040002,53,0,3404,3,"NULL",4034,"N",1,34040002,3404,3,24.85,-80.6258,1994-08-01,"85","84","68","16","3","3","NULL","1",1994,8,1,0,0,1,0,"34040002181994"
"35313",8405,96,0,417959,417961,2067,"TWA",32010006,53,0,3201,3,"NULL",2067,"N",1,32010006,3201,3,0,0,1994-04-16,"0","0","50","14","4","7","NULL","3",1994,4,16,0,0,1,0,"baseline"
"35881",8553,96,0,330789,330790,52,"TWA",34030009,53,0,3403,3,"NULL",52,"E",1,34030009,3403,3,0,0,1994-06-20,"81","81","55","15","3","3","NULL","3",1994,6,20,0,1,1,0,"baseline"
"36449",9612,96,0,519953,519959,1097,"TWA",34040004,53,0,3404,3,"NULL",1097,"N",1,34040004,3404,3,0,0,1994-09-22,"87","82","58","14","5","4","NULL","3",1994,9,22,0,0,1,0,"baseline"
"37017",9629,96,0,420678,420680,1841,"TWA",34030008,53,0,3403,3,"NULL",1841,"N",1,34030008,3403,3,0,0,1994-06-05,"0","0","80","11","4","3","NULL","2",1994,6,5,0,0,1,0,"baseline"
"37585",9789,96,0,417936,417938,2080,"TWA",33010026,53,0,3301,3,"NULL",2080,"N",1,33010026,3301,3,0,0,1994-09-24,"0","82","25","10","5","8","NULL","3",1994,9,24,0,0,1,0,"baseline"
"38153",9813,96,0,1041111,1041121,2306,"TWA",34030014,53,0,3403,3,"NULL",2306,"N",1,34030014,3403,3,0,0,1994-03-14,"78","70","45","14","4","3","NULL","2",1994,3,14,0,0,1,0,"baseline"
"38721",10732,96,0,424046,424048,4202,"TWA",34040004,53,0,3404,3,"NULL",4202,"N",1,34040004,3404,3,0,0,1995-04-07,"80","75","75","10","4","6","NULL","2",1995,4,7,0,0,1,0,"baseline"
"39289",11348,96,0,422888,422890,4030,"TWA",34030023,53,0,3403,3,"NULL",4030,"N",1,34030023,3403,3,0,0,1995-01-01,"72","72","66","11","3","4","NULL","2",1995,1,1,0,0,1,0,"34030023111995"
"39857",11359,96,0,417672,417674,4034,"TWA",33010009,53,0,3301,3,"NULL",4034,"N",1,33010009,3301,3,0,0,1994-11-19,"0","80","37","10","2","7","NULL","3",1994,11,19,0,0,1,0,"baseline"
"40425",11367,96,0,422743,422745,4313,"TWA",34030023,53,0,3403,3,"NULL",4313,"N",1,34030023,3403,3,0,0,1994-11-12,"79","79","99","10","4","3","NULL","2",1994,11,12,0,0,1,0,"baseline"
"40993",11370,96,1,423386,423388,4313,"TWA",34030031,64,0,3403,3,"NULL",4313,"N",1,34030031,3403,3,0,0,1994-11-13,"78","78","79","10","3","3","NULL","2",1994,11,13,1,0,2,1,"baseline"
"41561",11691,96,0,422570,422572,3346,"TWA",34030018,53,0,3403,3,"NULL",3346,"N",1,34030018,3403,3,0,0,1995-04-14,"79","79","68","14","4","3","NULL","1",1995,4,14,0,0,1,0,"baseline"
"42129",12289,96,0,152757,152757,14,"TWA",34030008,53,0,3403,3,"NULL",14,"N",1,34030008,3403,3,0,0,1995-07-08,"0","0","66","15","4","3","NULL","2",1995,7,8,0,0,1,0,"34030008871995"
"42697",12290,96,0,152695,152695,14,"TWA",34030008,53,0,3403,3,"NULL",14,"N",1,34030008,3403,3,0,0,1995-07-08,"0","0","66","14","4","5","NULL","2",1995,7,8,0,0,1,0,"34030008871995"
"43265",12292,96,0,153661,153661,14,"TWA",34030023,53,0,3403,3,"NULL",14,"N",1,34030023,3403,3,0,0,1995-07-02,"0","0","64","16","3","3","NULL","2",1995,7,2,0,0,1,0,"baseline"
"43833",12297,96,0,153111,153111,14,"TWA",34030009,53,0,3403,3,"NULL",14,"N",1,34030009,3403,3,0,0,1995-09-17,"82","82","60","16","3","3","NULL","2",1995,9,17,0,0,1,0,"baseline"
"44401",12300,96,0,153720,153720,14,"TWA",34030023,53,0,3403,3,"NULL",14,"N",1,34030023,3403,3,0,0,1995-07-03,"0","0","70","10","3","3","NULL","2",1995,7,3,0,0,1,0,"baseline"
"44969",12330,96,0,1041337,1041347,269,"TWA",34030026,53,0,3403,3,"NULL",269,"N",1,34030026,3403,3,0,0,1995-11-19,"77","76","25","14","6","10","NULL","2",1995,11,19,0,0,1,0,"3403002619111995"
"45537",12331,96,0,1041367,1041377,4090,"TWA",34030026,53,0,3403,3,"NULL",4090,"N",1,34030026,3403,3,0,0,1995-11-19,"77","76","25","14","6","10","NULL","2",1995,11,19,0,0,1,0,"3403002619111995"
"46105",12332,96,0,1040530,1040540,269,"TWA",34030011,53,0,3403,3,"NULL",269,"N",1,34030011,3403,3,0,0,1995-11-19,"77","77","60","16","3","4","NULL","2",1995,11,19,0,0,1,0,"3403001119111995"
"46673",12333,96,0,1040581,1040591,4090,"TWA",34030011,53,0,3403,3,"NULL",4090,"N",1,34030011,3403,3,0,0,1995-11-19,"77","77","60","16","3","4","NULL","2",1995,11,19,0,0,1,0,"3403001119111995"
"47241",12338,96,0,1040615,1040625,269,"TWA",34030011,53,0,3403,3,"NULL",269,"N",1,34030011,3403,3,0,0,1995-11-21,"77","77","60","14","4","5","NULL","2",1995,11,21,0,0,1,0,"3403001121111995"
"47809",12339,96,0,1040681,1040691,4090,"TWA",34030011,53,0,3403,3,"NULL",4090,"N",1,34030011,3403,3,0,0,1995-11-21,"77","77","60","14","4","5","NULL","2",1995,11,21,0,0,1,0,"3403001121111995"
"48377",12340,96,0,1040074,1040084,269,"TWA",34030008,53,0,3403,3,"NULL",269,"N",1,34030008,3403,3,0,0,1995-11-21,"77","77","65","16","3","4","NULL","2",1995,11,21,0,0,1,0,"3403000821111995"
"48945",12341,96,0,1040137,1040147,4090,"TWA",34030008,53,0,3403,3,"NULL",4090,"N",1,34030008,3403,3,0,0,1995-11-21,"77","77","65","16","3","4","NULL","2",1995,11,21,0,0,1,0,"3403000821111995"
"49513",12387,96,0,1039451,1039461,4586,"TWA",33010009,53,0,3301,3,"NULL",4586,"N",1,33010009,3301,3,0,0,1996-01-14,"0","0","55","10","4","7","NULL","1",1996,1,14,0,0,1,0,"baseline"
"50081",12753,96,0,422197,422199,3346,"TWA",34030014,53,0,3403,3,"NULL",3346,"N",1,34030014,3403,3,0,0,1995-01-27,"70","70","53","9","4","3","NULL","1",1995,1,27,0,0,1,0,"baseline"
"50649",13124,96,0,423502,423504,4081,"TWA",34030031,53,0,3403,3,"NULL",4081,"N",1,34030031,3403,3,0,0,1995-02-24,"74","73","50","11","6","4","NULL","2",1995,2,24,0,0,1,0,"baseline"
"51217",13329,96,0,416948,416950,3217,"TWA",33010122,53,0,3301,3,"NULL",3217,"N",1,33010122,3301,3,0,0,1995-03-18,"75","75","40","14","4","7","NULL","2",1995,3,18,0,0,1,0,"baseline"
"51785",13335,96,0,417776,417778,3217,"TWA",33010023,53,0,3301,3,"NULL",3217,"N",1,33010023,3301,3,0,0,1995-03-20,"75","75","52","11","4","6","NULL","1",1995,3,20,0,0,1,0,"baseline"
"52353",13343,96,0,277901,277902,3611,"TWA",34030008,53,0,3403,3,"NULL",3611,"E",1,34030008,3403,3,0,0,1995-02-04,"0","0","50","10","3","3","NULL","2",1995,2,4,0,1,1,0,"baseline"
"52921",13347,96,0,423455,423457,4317,"TWA",34030031,53,0,3403,3,"NULL",4317,"N",1,34030031,3403,3,0,0,1995-02-04,"0","0","65","10","4","3","NULL","3",1995,2,4,0,0,1,0,"baseline"
"53489",13452,96,0,1072692,1072702,720,"TWA",33010009,53,0,3301,3,"NULL",720,"N",1,33010009,3301,3,0,0,1998-05-21,"80","79","35","12","2","6","NULL","2",1998,5,21,0,0,1,0,"baseline"
"54057",13741,96,0,277349,277350,8536,"TWA",34030001,53,0,3403,3,"NULL",8536,"N",1,34030001,3403,3,0,0,1997-07-01,"0","0","69","9","3","3","NULL","2",1997,7,1,0,0,1,0,"34030001171997"
"54625",13843,96,0,278462,278463,8536,"TWA",34030018,53,0,3403,3,"NULL",8536,"N",1,34030018,3403,3,0,0,1997-06-28,"0","0","57","10","3","3","NULL","2",1997,6,28,0,0,1,0,"baseline"
"55193",14086,96,0,278404,278405,3611,"TWA",34030018,53,0,3403,3,"NULL",3611,"E",1,34030018,3403,3,0,0,1994-11-02,"0","0","57","16","3","3","NULL","1",1994,11,2,0,1,1,0,"340300182111994"
"55761",14088,96,0,278566,278567,3611,"TWA",34030031,53,0,3403,3,"NULL",3611,"E",1,34030031,3403,3,0,0,1994-11-08,"0","0","35","14","3","5","NULL","2",1994,11,8,0,1,1,0,"baseline"
"56329",14089,96,0,277286,277287,3611,"TWA",34030001,66,0,3403,3,"NULL",3611,"E",1,34030001,3403,3,0,0,1994-11-08,"0","0","65","15","3","3","NULL","1",1994,11,8,0,1,1,0,"340300018111994"
"56897",14093,96,0,277762,277763,3611,"TWA",34030007,53,0,3403,3,"NULL",3611,"E",1,34030007,3403,3,0,0,1994-10-20,"0","0","55","17","4","3","NULL","2",1994,10,20,0,1,1,0,"baseline"
"57465",14224,96,0,278121,278122,14,"TWA",34030014,53,0,3403,3,"NULL",14,"N",1,34030014,3403,3,0,0,1997-07-12,"85","85","60","11","2","3","NULL","2",1997,7,12,0,0,1,0,"baseline"
"58033",14336,96,0,100774,100774,976,"TWA",31010001,53,0,3101,3,"NULL",976,"N",1,31010001,3101,3,29.3235,-80.7463,1995-07-15,"83","80","22","12","4","8","NULL","1",1995,7,15,0,0,1,0,"baseline"
"58601",14440,96,0,424794,424796,4214,"TWA",34080001,60,0,3408,3,"NULL",4214,"N",1,34080001,3408,3,0,0,1994-11-11,"80","72","43","15","2","3","NULL","2",1994,11,11,0,0,1,0,"baseline"
"59169",14470,96,0,422555,422557,4024,"TWA",34030018,53,0,3403,3,"NULL",4024,"N",1,34030018,3403,3,0,0,1994-07-30,"86","0","60","16","3","0","NULL","2",1994,7,30,0,0,1,0,"340300183071994"
"59737",14483,96,0,422515,422517,2051,"TWA",34030018,53,0,3403,3,"NULL",2051,"N",1,34030018,3403,3,0,0,1994-07-30,"0","84","65","16","3","3","NULL","2",1994,7,30,0,0,1,0,"340300183071994"
"60305",14485,96,0,1048245,1048255,4040,"TWA",34040002,53,0,3404,3,"NULL",4040,"N",1,34040002,3404,3,24.855,-80.6217,1994-08-01,"87","85","60","14","2","3","NULL","2",1994,8,1,0,0,1,0,"34040002181994"
"60873",14486,96,0,1047915,1047925,3574,"TWA",34040002,66,0,3404,3,"NULL",3574,"N",1,34040002,3404,3,24.855,-80.6217,1994-08-01,"85","85","60","14","3","3","NULL","2",1994,8,1,0,0,1,0,"34040002181994"
"61441",14487,96,0,1048117,1048127,4035,"TWA",34040002,53,0,3404,3,"NULL",4035,"N",1,34040002,3404,3,24.855,-80.6217,1994-08-01,"87","85","80","14","3","2","NULL","2",1994,8,1,0,0,1,0,"34040002181994"
"62009",14488,96,0,1048145,1048155,4036,"TWA",34040002,53,0,3404,3,"NULL",4036,"N",1,34040002,3404,3,24.855,-80.6217,1994-08-01,"87","85","60","14","3","2","NULL","2",1994,8,1,0,0,1,0,"34040002181994"
"62577",14489,96,0,1048161,1048171,4037,"TWA",34040002,53,0,3404,3,"NULL",4037,"N",1,34040002,3404,3,24.855,-80.6217,1994-08-01,"86","84","80","14","3","2","NULL","2",1994,8,1,0,0,1,0,"34040002181994"
"63145",14492,96,0,1048222,1048232,4039,"TWA",34040002,53,0,3404,3,"NULL",4039,"N",1,34040002,3404,3,24.855,-80.6217,1994-08-01,"85","85","57","14","3","2","NULL","2",1994,8,1,0,0,1,0,"34040002181994"
"63713",14493,96,0,1047978,1047988,4028,"TWA",34040002,53,0,3404,3,"NULL",4028,"N",1,34040002,3404,3,24.855,-80.6217,1994-08-01,"86","84","62","14","2","2","NULL","1",1994,8,1,0,0,1,0,"34040002181994"
"64281",14494,96,0,1048002,1048012,4029,"TWA",34040002,53,0,3404,3,"NULL",4029,"N",1,34040002,3404,3,24.855,-80.6217,1994-08-01,"86","86","56","14","3","3","NULL","1",1994,8,1,0,0,1,0,"34040002181994"
"64849",14495,96,0,422825,422827,4030,"TWA",34030023,53,0,3403,3,"NULL",4030,"N",1,34030023,3403,3,0,0,1995-01-01,"77","73","50","9","3","3","NULL","2",1995,1,1,0,0,1,0,"34030023111995"
"65417",14496,96,0,1048719,1048729,4031,"TWA",34040002,53,0,3404,3,"NULL",4031,"N",1,34040002,3404,3,24.85,-80.6258,1994-08-01,"85","84","75","16","2","3","NULL","1",1994,8,1,0,0,1,0,"34040002181994"
"65985",14497,96,0,1047876,1047886,3483,"TWA",34040002,53,0,3404,3,"NULL",3483,"N",1,34040002,3404,3,24.855,-80.6217,1994-08-01,"85","85","66","14","3","3","NULL","2",1994,8,1,0,0,1,0,"34040002181994"
"66553",14500,96,0,1048084,1048094,4034,"TWA",34040002,53,0,3404,3,"NULL",4034,"N",1,34040002,3404,3,24.855,-80.6217,1994-08-01,"86","84","73","14","3","3","NULL","1",1994,8,1,0,0,1,0,"34040002181994"
"67121",14729,96,0,1115,1115,3862,"TWA",34080001,53,0,3408,3,"NULL",3862,"N",1,34080001,3408,3,24.473,-81.681,1994-07-18,"86","84","40","14","3","2","NULL","2",1994,7,18,0,0,1,0,"340800011871994"
"67689",15047,96,0,933242,933251,3308,"TWA",34050001,53,0,3405,3,"NULL",3308,"N",1,34050001,3405,3,0,0,1994-08-15,"86","84","49","14","2","2","NULL","2",1994,8,15,0,0,1,0,"340500011581994"
